iter	Passed	Remaining
315	6685	25051
316	6706	25028
317	6727	25005
318	6748	24983
319	6769	24961
320	6790	24939
321	6811	24917
322	6832	24895
323	6853	24874
324	6873	24851
325	6912	24893
326	6947	24921
327	6971	24910
328	6994	24895
329	7015	24873
330	7036	24850
331	7057	24827
332	7078	24805
333	7099	24782
334	7120	24761
335	7141	24739
336	7162	24716
337	7183	24694
338	7204	24673
339	7226	24654
340	7247	24631
341	7268	24609
342	7289	24587
343	7310	24566
344	7331	24543
345	7352	24521
346	7373	24500
347	7394	24479
348	7416	24460
349	7441	24451
350	7463	24430
351	7484	24410
352	7506	24390
353	7528	24370
354	7549	24350
355	7571	24330
356	7593	24311
357	7614	24289
358	7635	24268
359	7657	24248
360	7678	24227
361	7700	24207
362	7722	24187
363	7743	24166
364	7764	24145
365	7786	24125
366	7807	24104
367	7828	24081
368	7849	24059
369	7870	24037
370	7891	24016
371	7912	23994
372	7934	23972
373	7955	23950
374	7975	23927
375	7996	23904
376	8017	23882
377	8038	23859
378	8059	23837
379	8079	23814
380	8100	23792
381	8121	23769
382	8142	23747
383	8163	23724
384	8183	23701
385	8204	23678
386	8225	23657
387	8247	23637
388	8268	23615
389	8289	23593
390	8310	23572
391	8331	23549
392	8352	23527
393	8373	23505
394	8394	23483
395	8415	23462
396	8437	23441
397	8458	23420
398	8480	23399
399	8501	23379
400	8522	23357
401	8543	23336
402	8565	23314
403	8586	23292
